code,occupation_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033
21332,Petroleum engineers,11300.0,11400.0,11800.0,11900.0,11800.0,11700.0,11700.0,11300.0,11200.0,11200.0,11100.0
21390,Aerospace engineers,5400.0,5600.0,5600.0,5600.0,5600.0,5600.0,5600.0,5600.0,5600.0,5600.0,5600.0
21399,Other professional engineers,42900.0,44400.0,44800.0,45200.0,45500.0,45700.0,45900.0,46100.0,46300.0,46500.0,46700.0
22100,Chemical technologists and technicians,26300.0,27000.0,27500.0,27600.0,27900.0,28300.0,28600.0,28700.0,29100.0,29500.0,29900.0
22101,Geological and mineral technologists and technicians,9100.0,9200.0,9400.0,9600.0,9600.0,9600.0,9600.0,9500.0,9500.0,9500.0,9500.0
22110,Biological technologists and technicians,6700.0,6800.0,6900.0,6900.0,6800.0,6800.0,6700.0,6700.0,6600.0,6600.0,6500.0
22111,Agricultural and fish products inspectors,2000.0,2000.0,2100.0,2100.0,2100.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
22112,Forestry technologists and technicians,6200.0,6700.0,6700.0,6800.0,6800.0,6800.0,6900.0,6900.0,6900.0,7000.0,7000.0
22113,Conservation and fishery officers,3200.0,3300.0,3300.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0
22114,Landscape and horticulture technicians and specialists,15100.0,14100.0,15000.0,15400.0,15600.0,15700.0,16000.0,15900.0,16300.0,16700.0,17200.0
22210,Architectural technologists and technicians,9300.0,9500.0,9700.0,9700.0,9800.0,9900.0,9900.0,9900.0,10000.0,10000.0,10000.0
22211,Industrial designers,10000.0,10000.0,10200.0,10300.0,10400.0,10400.0,10500.0,10600.0,10600.0,10700.0,10800.0
22212,Drafting technologists and technicians,37700.0,38000.0,38500.0,39000.0,39100.0,39200.0,39200.0,39200.0,39200.0,39200.0,39200.0
22213,Land survey technologists and technicians,7400.0,7500.0,7600.0,7700.0,7700.0,7700.0,7700.0,7700.0,7700.0,7700.0,7700.0
22214,Technical occupations in geomatics and meteorology,8700.0,9300.0,9500.0,9300.0,9100.0,9000.0,9000.0,9000.0,8900.0,8800.0,8700.0
22220,Computer network and web technicians,40800.0,41500.0,41600.0,42100.0,42200.0,42200.0,42200.0,42300.0,42500.0,42500.0,42500.0
22221,User support technicians,119200.0,122700.0,126000.0,128000.0,130400.0,132500.0,134800.0,137100.0,139500.0,141900.0,144300.0
22222,Information systems testing technicians,20000.0,20800.0,20800.0,21200.0,21400.0,21700.0,22000.0,22300.0,22600.0,22900.0,23200.0
22230,Non-destructive testers and inspectors,4800.0,4600.0,4600.0,4700.0,4700.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0
22231,Engineering inspectors and regulatory officers,7100.0,7200.0,7400.0,7600.0,7700.0,7700.0,7800.0,7800.0,7900.0,7900.0,8000.0
22232,Occupational health and safety specialists,33400.0,33800.0,34400.0,35200.0,35800.0,36500.0,37100.0,37800.0,38500.0,39100.0,39800.0
22233,Construction inspectors,25700.0,26300.0,26700.0,27200.0,27700.0,28100.0,28500.0,28900.0,29400.0,29900.0,30400.0
22300,Civil engineering technologists and technicians,27400.0,28400.0,28500.0,28400.0,28600.0,28700.0,28900.0,29100.0,29200.0,29300.0,29400.0
22301,Mechanical engineering technologists and technicians,21900.0,21900.0,22400.0,22800.0,23100.0,23500.0,23700.0,24000.0,24200.0,24500.0,24700.0
